,01 vs 02,01 vs 18,04 vs 18,00 vs 02,04 vs 08,08 vs 18,01 vs 08,02 vs 18,02 vs 04,00 vs 01,00 vs 08,02 vs 08,01 vs 04,00 vs 18,00 vs 04
GPR137C,-0.052890234,0.26270297,0.46129662,-0.3172893,0.29791418,0.14466825,0.099631675,0.3420991,-0.14762574,-0.27948776,-0.15347397,0.15390362,-0.21052139,0.02412217,-0.43952516
AC007966.1,-0.20356016,2.094223,2.0251071,-0.2952874,0.7391188,1.2758085,0.8379699,2.3425362,0.32207805,-0.10548669,0.7119762,1.0360472,0.11821085,2.0228086,0.035274718
SGMS1,-0.09962677,0.024260065,0.27328256,-0.34712335,0.11660545,0.15831222,-0.13755994,0.14621916,-0.14295341,-0.25259146,-0.3825429,-0.037482154,-0.25765306,-0.22523616,-0.4823077
MCEE,-0.13889019,-0.29504463,-0.051122427,-0.2159815,-0.054965895,0.0011357975,-0.29218543,-0.16082838,-0.11354874,-0.08532806,-0.39005187,-0.16347545,-0.25090688,-0.38405147,-0.3292839
ATP10B,0.29439902,0.8382493,0.28024742,0.3769298,0.2201364,0.07611209,0.7746958,0.5926986,0.2942226,0.08330712,0.86921954,0.51813877,0.54804385,0.91879845,0.66568846
RPGR,-0.057671413,-0.06498764,0.14117536,-0.20880876,0.036245596,0.108716965,-0.17852947,0.009422374,-0.14154175,-0.1481383,-0.3097108,-0.116630115,-0.19107404,-0.19035001,-0.34028316
FAM155A,0.033524245,0.48259857,0.5491961,-0.4110981,0.23058493,0.34829542,0.15086755,0.474802,-0.08378177,-0.45376986,-0.2653407,0.13965994,-0.08408344,0.06849412,-0.47800028
FTL,-0.09628912,-0.06343354,-0.09793193,0.01051349,-0.09614754,-0.0015142397,-0.047940087,0.02188212,0.13936591,0.106202975,0.046711743,0.048957016,0.059353594,0.033798832,0.13691874
GPD1,0.07860688,-1.4470501,-1.6868606,0.48528832,-0.65418375,-1.0265226,-0.37485924,-1.5113719,0.13285114,0.37177536,-0.0035069943,-0.4579174,0.21705723,-1.0836805,0.61735934
SLC22A17,-0.08203822,-0.09681561,-0.093875095,-0.1468621,-0.08264955,0.0016601166,-0.074012086,-0.014501799,0.0787681,-0.08394039,-0.1625697,0.014311207,-0.007089229,-0.15778689,-0.06703058
SEC24D,-0.08305873,-0.47114697,-0.26203832,-0.17366529,-0.10941468,-0.14698996,-0.30923298,-0.36003366,-0.12349502,-0.09808767,-0.39408624,-0.21422602,-0.20687239,-0.5580002,-0.29448095
NEURL1B,0.11393195,0.30997697,0.31386784,-0.037875976,0.27746713,0.008174795,0.21127026,0.14845909,-0.15864898,-0.13736773,0.12436963,0.09117098,-0.028171854,0.18804966,-0.15479651
F7,0.08083326,1.0179696,0.7496133,0.06606074,0.49972984,0.22849956,0.72720784,0.9269181,0.19736706,-0.0019183451,0.75305575,0.66942626,0.27767265,0.9995406,0.26731905
