,0
1543,SNORA72
1544,HGFAC
1545,ADAP2
1546,MT-ND1
1547,TSPYL2
1548,MMRN2
1549,AC010973.2
1550,GRIK4
1551,FOXRED2
1552,ABCA12
1553,FAM222A
1554,SDC2
1555,PRAG1
1556,LYPD3
1557,FOS
1558,BRSK2
1559,AC009061.1
1560,WISP2
1561,SOX9
1562,SLC22A4
1563,HIST1H2BD
1564,PREX1
1565,ACOX1
1566,LINC01588
1567,RASGEF1B
1568,AMOTL2
1569,CACNA2D2
1570,PAMR1
1571,CRABP2
1572,EIF5P1
1573,HSD17B7P2
1574,ZSCAN31
1575,ARMC12
1576,AMH
1577,AL139384.2
1578,SSTR2
1579,ALDH2
1580,TUBA3E
1581,PSMB6
1582,MUC19
1583,KLK10
1584,AC090578.1
1585,APOL2
1586,ABTB2
1587,TUBB2B
1588,PURA
1589,FOLR1
1590,CCDC144NL-AS1
1591,BIRC5
1592,H2AFJ
1593,MEIS3
1594,GAB2
1595,CAVIN1
1596,FEN1
1597,LINC00511
1598,AC015983.1
1599,TOB1
1600,HOXB6
1601,CACNA1I
1602,ALCAM
1603,AL512363.1
1604,EEF1A1P28
1605,AC004241.4
1606,FAM225B
1607,AC005884.2
1608,ZMYND8
1609,PMEPA1
1610,MT2A
1611,SKP2
1612,MADCAM1
1613,OLFM1
1614,FJX1
1615,AL136172.1
1616,BRI3BP
1617,TNFSF10
1618,PEG10
1619,TMEM40
1620,CLIP3
1621,ACTN1
1622,AC004908.2
1623,USP53
1624,UBALD2
1625,SUSD2
1626,OSGIN1
1627,FAM111B
1628,SLPI
1629,HAPLN1
1630,NPNT
1631,GPRC5A
1632,NDN
